Linux 3.2.0-30-virtual (14f431ee-8e10-439a-8a04-f57f71d97a86) 	12/07/2013 	_x86_64_	(4 CPU)

11:54:44 AM       PID    %usr %system  %guest    %CPU   CPU  Command
11:54:49 AM     12423    0.00    0.00    0.00    0.00     0  python
11:54:54 AM     12423    0.00    0.00    0.00    0.00     0  python
11:54:59 AM     12423    0.00    0.00    0.00    0.00     0  python
11:55:04 AM     12423    0.00    0.00    0.00    0.00     0  python
11:55:09 AM     12423    0.00    0.00    0.00    0.00     0  python
11:55:14 AM     12423    0.00    0.00    0.00    0.00     0  python
11:55:19 AM     12423    0.00    0.00    0.00    0.00     0  python
11:55:24 AM     12423    0.00    0.00    0.00    0.00     0  python
11:55:29 AM     12423    0.00    0.00    0.00    0.00     0  python
11:55:34 AM     12423    0.00    0.00    0.00    0.00     0  python
11:55:39 AM     12423    0.00    0.00    0.00    0.00     0  python
11:55:44 AM     12423    0.00    0.00    0.00    0.00     0  python
11:55:49 AM     12423    0.00    0.00    0.00    0.00     0  python
11:55:54 AM     12423    0.00    0.00    0.00    0.00     0  python
11:55:59 AM     12423    0.00    0.00    0.00    0.00     0  python
11:56:04 AM     12423    0.00    0.00    0.00    0.00     0  python
11:56:09 AM     12423    0.00    0.00    0.00    0.00     0  python
11:56:14 AM     12423    0.00    0.00    0.00    0.00     0  python
11:56:19 AM     12423    0.00    0.00    0.00    0.00     0  python
11:56:24 AM     12423    0.00    0.00    0.00    0.00     0  python
11:56:29 AM     12423    0.00    0.00    0.00    0.00     0  python
11:56:34 AM     12423    0.00    0.00    0.00    0.00     0  python
11:56:39 AM     12423    0.00    0.00    0.00    0.00     0  python
11:56:44 AM     12423    0.00    0.00    0.00    0.00     0  python
11:56:49 AM     12423    0.00    0.00    0.00    0.00     0  python
11:56:54 AM     12423    0.00    0.00    0.00    0.00     0  python
11:56:59 AM     12423    0.00    0.00    0.00    0.00     0  python
11:57:04 AM     12423    0.00    0.00    0.00    0.00     0  python
11:57:09 AM     12423    0.00    0.00    0.00    0.00     0  python
11:57:14 AM     12423    0.00    0.00    0.00    0.00     0  python
11:57:19 AM     12423    0.00    0.00    0.00    0.00     0  python
11:57:24 AM     12423    0.00    0.00    0.00    0.00     0  python
11:57:29 AM     12423    0.00    0.00    0.00    0.00     0  python
11:57:34 AM     12423    0.00    0.00    0.00    0.00     0  python
11:57:39 AM     12423    0.00    0.00    0.00    0.00     0  python
11:57:44 AM     12423    0.00    0.00    0.00    0.00     0  python
11:57:49 AM     12423    0.00    0.00    0.00    0.00     0  python
11:57:54 AM     12423    0.00    0.00    0.00    0.00     0  python
11:57:59 AM     12423    0.00    0.00    0.00    0.00     0  python
11:58:04 AM     12423    0.00    0.00    0.00    0.00     0  python
11:58:09 AM     12423    0.00    0.00    0.00    0.00     0  python
11:58:14 AM     12423    0.00    0.00    0.00    0.00     0  python
11:58:19 AM     12423    0.00    0.00    0.00    0.00     0  python
11:58:24 AM     12423    0.00    0.00    0.00    0.00     0  python
11:58:29 AM     12423    0.00    0.00    0.00    0.00     0  python
11:58:34 AM     12423    0.00    0.00    0.00    0.00     0  python
11:58:39 AM     12423    0.00    0.00    0.00    0.00     0  python
11:58:44 AM     12423    0.00    0.00    0.00    0.00     0  python
11:58:49 AM     12423    0.00    0.00    0.00    0.00     0  python
11:58:54 AM     12423    0.00    0.00    0.00    0.00     0  python
11:58:59 AM     12423    0.00    0.00    0.00    0.00     0  python
11:59:04 AM     12423    0.00    0.00    0.00    0.00     0  python
11:59:09 AM     12423    0.00    0.00    0.00    0.00     0  python
11:59:14 AM     12423    0.00    0.00    0.00    0.00     0  python
11:59:19 AM     12423    0.00    0.00    0.00    0.00     0  python
11:59:24 AM     12423    0.00    0.00    0.00    0.00     0  python
11:59:29 AM     12423    0.00    0.00    0.00    0.00     0  python
11:59:34 AM     12423    0.00    0.00    0.00    0.00     0  python
11:59:39 AM     12423    0.00    0.00    0.00    0.00     0  python
11:59:44 AM     12423    0.00    0.00    0.00    0.00     0  python
11:59:49 AM     12423    0.00    0.00    0.00    0.00     0  python
11:59:54 AM     12423    0.00    0.00    0.00    0.00     0  python
11:59:59 AM     12423    0.00    0.00    0.00    0.00     0  python
12:00:04 PM     12423    0.00    0.00    0.00    0.00     0  python
12:00:09 PM     12423    0.00    0.00    0.00    0.00     0  python
12:00:14 PM     12423    0.00    0.00    0.00    0.00     0  python
12:00:19 PM     12423    0.00    0.00    0.00    0.00     0  python
12:00:24 PM     12423    0.00    0.00    0.00    0.00     0  python
12:00:29 PM     12423    0.00    0.00    0.00    0.00     0  python
12:00:34 PM     12423    0.00    0.00    0.00    0.00     0  python
12:00:39 PM     12423    0.00    0.00    0.00    0.00     0  python
12:00:44 PM     12423    0.00    0.00    0.00    0.00     0  python
12:00:49 PM     12423    0.00    0.00    0.00    0.00     0  python
12:00:54 PM     12423    0.00    0.00    0.00    0.00     0  python
12:00:59 PM     12423    0.00    0.00    0.00    0.00     0  python
12:01:04 PM     12423    0.00    0.00    0.00    0.00     0  python
12:01:09 PM     12423    0.00    0.00    0.00    0.00     0  python
12:01:14 PM     12423    0.00    0.00    0.00    0.00     0  python
12:01:19 PM     12423    0.00    0.00    0.00    0.00     0  python
12:01:24 PM     12423    0.00    0.00    0.00    0.00     0  python
12:01:29 PM     12423    0.00    0.00    0.00    0.00     0  python
12:01:34 PM     12423    0.00    0.00    0.00    0.00     0  python
12:01:39 PM     12423    0.00    0.00    0.00    0.00     0  python
12:01:44 PM     12423    0.00    0.00    0.00    0.00     0  python
12:01:49 PM     12423    0.00    0.00    0.00    0.00     0  python
12:01:54 PM     12423    0.00    0.00    0.00    0.00     0  python
12:01:59 PM     12423    0.00    0.00    0.00    0.00     0  python
12:02:04 PM     12423    0.00    0.00    0.00    0.00     0  python
12:02:09 PM     12423    0.00    0.00    0.00    0.00     0  python
12:02:14 PM     12423    0.00    0.00    0.00    0.00     0  python
12:02:19 PM     12423    0.00    0.00    0.00    0.00     0  python
12:02:24 PM     12423    0.00    0.00    0.00    0.00     0  python
12:02:29 PM     12423    0.00    0.00    0.00    0.00     0  python
12:02:34 PM     12423    0.00    0.00    0.00    0.00     0  python
12:02:39 PM     12423    0.00    0.00    0.00    0.00     0  python
12:02:44 PM     12423    0.00    0.00    0.00    0.00     0  python
12:02:49 PM     12423    0.00    0.00    0.00    0.00     0  python
12:02:54 PM     12423    0.00    0.00    0.00    0.00     0  python
12:02:59 PM     12423    0.00    0.00    0.00    0.00     0  python
12:03:04 PM     12423    0.00    0.00    0.00    0.00     0  python
12:03:09 PM     12423    0.00    0.00    0.00    0.00     0  python
12:03:14 PM     12423    0.00    0.00    0.00    0.00     0  python
12:03:19 PM     12423    0.00    0.00    0.00    0.00     0  python
12:03:24 PM     12423    0.00    0.00    0.00    0.00     0  python
12:03:29 PM     12423    0.00    0.00    0.00    0.00     0  python
12:03:34 PM     12423    0.00    0.00    0.00    0.00     0  python
12:03:39 PM     12423    0.00    0.00    0.00    0.00     0  python
12:03:44 PM     12423    0.00    0.00    0.00    0.00     0  python
12:03:49 PM     12423    0.00    0.00    0.00    0.00     0  python
12:03:54 PM     12423    0.00    0.00    0.00    0.00     0  python
12:03:59 PM     12423    0.00    0.00    0.00    0.00     0  python
12:04:04 PM     12423    0.00    0.00    0.00    0.00     0  python
12:04:09 PM     12423    0.00    0.00    0.00    0.00     0  python
12:04:14 PM     12423    0.00    0.00    0.00    0.00     0  python
12:04:19 PM     12423    0.00    0.00    0.00    0.00     0  python
12:04:24 PM     12423    0.00    0.00    0.00    0.00     0  python
12:04:29 PM     12423    0.00    0.00    0.00    0.00     0  python
12:04:34 PM     12423    0.00    0.00    0.00    0.00     0  python
12:04:39 PM     12423    0.00    0.00    0.00    0.00     0  python
12:04:44 PM     12423    0.00    0.00    0.00    0.00     0  python
12:04:49 PM     12423    0.00    0.00    0.00    0.00     0  python
12:04:54 PM     12423    0.00    0.00    0.00    0.00     0  python
12:04:59 PM     12423    0.00    0.00    0.00    0.00     0  python
12:05:04 PM     12423    0.00    0.00    0.00    0.00     0  python
12:05:09 PM     12423    0.00    0.00    0.00    0.00     0  python
12:05:14 PM     12423    0.00    0.00    0.00    0.00     0  python
12:05:19 PM     12423    0.00    0.00    0.00    0.00     0  python
12:05:24 PM     12423    0.00    0.00    0.00    0.00     0  python
12:05:29 PM     12423    0.00    0.00    0.00    0.00     0  python
12:05:34 PM     12423    0.00    0.00    0.00    0.00     0  python
12:05:39 PM     12423    0.00    0.00    0.00    0.00     0  python
12:05:44 PM     12423    0.00    0.00    0.00    0.00     0  python
12:05:49 PM     12423    0.00    0.00    0.00    0.00     0  python
12:05:54 PM     12423    0.00    0.00    0.00    0.00     0  python
12:05:59 PM     12423    0.00    0.00    0.00    0.00     0  python
12:06:04 PM     12423    0.00    0.00    0.00    0.00     0  python
12:06:09 PM     12423    0.00    0.00    0.00    0.00     0  python
12:06:14 PM     12423    0.00    0.00    0.00    0.00     0  python
12:06:19 PM     12423    0.00    0.00    0.00    0.00     0  python
