Linux 3.2.0-30-virtual (14f431ee-8e10-439a-8a04-f57f71d97a86) 	12/07/2013 	_x86_64_	(4 CPU)

12:37:31 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:37:36 PM     all     19.02      0.00      7.83      0.28      0.00     72.88
12:37:41 PM     all     19.74      0.00      8.10      0.55      0.00     71.60
12:37:46 PM     all     19.27      0.00      8.11      0.56      0.00     72.06
12:37:51 PM     all     14.24      0.00      6.81      0.50      0.00     78.45
12:37:56 PM     all      3.18      0.00      0.81      0.81      0.00     95.20
12:38:01 PM     all      1.21      0.00      0.35      0.71      0.00     97.73
12:38:06 PM     all      4.62      0.00      0.76      0.15      0.00     94.47
12:38:11 PM     all      7.49      0.00      1.16      0.51      0.00     90.84
12:38:16 PM     all     16.74      0.00      6.55      0.27      0.00     76.44
12:38:21 PM     all     21.18      0.00      7.83      0.62      0.00     70.37
12:38:26 PM     all     24.49      0.00      8.68      0.38      0.00     66.45
12:38:31 PM     all     24.64      0.00      9.34      1.00      0.00     65.02
12:38:36 PM     all     27.72      0.00      9.67      0.49      0.00     62.12
12:38:41 PM     all     26.99      0.00      8.87      0.44      0.00     63.71
12:38:46 PM     all     27.39      0.00     10.48      0.11      0.00     62.02
12:38:51 PM     all     25.01      0.00      9.51      0.77      0.00     64.71
12:38:56 PM     all     26.44      0.00     10.21      0.33      0.00     63.03
12:39:01 PM     all     26.57      0.00      9.13      0.44      0.00     63.86
12:39:06 PM     all     26.78      0.00     11.08      0.27      0.00     61.87
12:39:11 PM     all     27.85      0.00      9.66      0.65      0.00     61.85
12:39:16 PM     all     27.41      0.00      8.61      0.16      0.00     63.82
12:39:21 PM     all     27.07      0.00      9.10      0.38      0.00     63.45
12:39:26 PM     all     24.95      0.00     11.03      0.11      0.00     63.92
12:39:31 PM     all     28.36      0.00     10.07      0.71      0.00     60.86
12:39:36 PM     all     25.67      0.00     10.15      0.16      0.00     64.02
12:39:41 PM     all     25.48      0.00     10.38      0.54      0.00     63.60
12:39:46 PM     all     24.11      0.00      8.11      0.17      0.00     67.61
12:39:51 PM     all     23.78      0.00      8.31      0.39      0.00     67.52
12:39:56 PM     all     23.72      0.00     11.03      0.50      0.00     64.75
12:40:01 PM     all     24.34      0.00      9.27      0.54      0.00     65.85
12:40:06 PM     all     24.72      0.00      9.96      0.65      0.00     64.67
12:40:11 PM     all     21.88      0.00      9.49      0.39      0.00     68.24
12:40:16 PM     all     24.58      0.00      8.95      0.39      0.00     66.07
12:40:21 PM     all     23.81      0.00      9.41      0.55      0.00     66.23
12:40:26 PM     all     23.29      0.00     10.08      0.22      0.00     66.41
12:40:31 PM     all     23.22      0.00     10.08      0.33      0.00     66.37
12:40:36 PM     all     23.55      0.00      8.22      0.22      0.00     68.01
12:40:41 PM     all     24.46      0.00      9.49      0.70      0.00     65.35
12:40:46 PM     all     24.85      0.00      8.69      0.22      0.00     66.25
12:40:51 PM     all     24.62      0.00      9.25      0.82      0.00     65.32
12:40:56 PM     all     25.73      0.00     10.00      0.27      0.00     64.00
12:41:01 PM     all     24.54      0.00      9.72      0.54      0.00     65.20
12:41:06 PM     all     25.36      0.00     10.36      0.32      0.00     63.96
12:41:11 PM     all     24.59      0.00      9.25      0.54      0.00     65.61
12:41:16 PM     all     23.23      0.00      9.27      0.11      0.00     67.38
12:41:21 PM     all     24.02      0.00      9.11      0.88      0.00     65.99
12:41:26 PM     all     24.52      0.00     10.14      0.32      0.00     65.02
12:41:31 PM     all     25.34      0.00      9.38      0.42      0.00     64.85
12:41:36 PM     all     24.89      0.00      8.66      0.33      0.00     66.12
12:41:41 PM     all     25.22      0.00      8.86      0.32      0.00     65.60
12:41:46 PM     all     24.35      0.00      9.76      0.22      0.00     65.67
12:41:51 PM     all     24.13      0.00      9.73      0.38      0.00     65.76
12:41:56 PM     all     26.63      0.00      9.92      0.27      0.00     63.18
12:42:01 PM     all     24.76      0.00      9.12      0.38      0.00     65.74
12:42:06 PM     all     25.58      0.00      9.53      0.54      0.00     64.35
12:42:11 PM     all     22.80      0.00      9.91      0.39      0.00     66.91
12:42:16 PM     all     24.47      0.00      9.37      0.38      0.00     65.78
12:42:21 PM     all     25.91      0.00      8.78      0.59      0.00     64.72
12:42:26 PM     all     24.80      0.00      9.08      0.33      0.00     65.80
12:42:31 PM     all     26.03      0.00      8.93      0.16      0.00     64.88
12:42:36 PM     all     25.22      0.00      8.35      0.43      0.00     66.00
12:42:41 PM     all     23.81      0.00      9.37      0.16      0.00     66.65
12:42:46 PM     all     24.25      0.00      9.03      0.38      0.00     66.34
12:42:51 PM     all     23.31      0.00      8.78      0.22      0.00     67.69
12:42:56 PM     all     25.49      0.00     10.05      0.49      0.00     63.97
12:43:01 PM     all     25.03      0.00     10.67      0.32      0.00     63.98
12:43:06 PM     all     24.18      0.00     10.50      0.38      0.00     64.93
12:43:11 PM     all     22.42      0.00      9.87      0.17      0.00     67.54
12:43:16 PM     all     24.07      0.00      9.22      0.66      0.00     66.05
12:43:21 PM     all     24.93      0.00      9.60      0.11      0.00     65.36
12:43:26 PM     all     22.92      0.00     10.49      0.32      0.00     66.27
12:43:31 PM     all     24.09      0.00      9.26      0.22      0.00     66.43
12:43:36 PM     all     24.12      0.00      9.96      2.68      0.00     63.24
12:43:41 PM     all     24.62      0.00      9.42      0.16      0.00     65.80
12:43:46 PM     all     23.16      0.00      9.67      0.61      0.00     66.56
12:43:51 PM     all     24.56      0.00      9.85      0.32      0.00     65.27
12:43:56 PM     all     25.53      0.00      8.42      0.51      0.00     65.54
12:44:01 PM     all     24.66      0.00      9.75      0.27      0.00     65.32
12:44:06 PM     all     23.20      0.00     10.24      0.44      0.00     66.11
12:44:11 PM     all     24.53      0.00      9.71      0.44      0.00     65.31
12:44:16 PM     all     23.33      0.00      9.00      0.44      0.00     67.22
12:44:21 PM     all     21.38      0.00     10.10      0.28      0.00     68.25
12:44:26 PM     all     24.46      0.00     10.10      0.43      0.00     65.01
12:44:31 PM     all     24.43      0.00      9.60      0.32      0.00     65.64
12:44:36 PM     all     23.95      0.00      8.72      0.39      0.00     66.94
12:44:41 PM     all     23.90      0.00      9.32      0.28      0.00     66.50
12:44:46 PM     all     24.06      0.00      9.29      0.33      0.00     66.32
12:44:51 PM     all     23.32      0.00      9.09      1.20      0.00     66.39
12:44:56 PM     all     25.36      0.00      9.80      0.33      0.00     64.51
12:45:01 PM     all     23.77      0.00     10.02      0.27      0.00     65.94
12:45:06 PM     all     22.88      0.00      9.52      0.89      0.00     66.70
12:45:11 PM     all     24.61      0.00      9.55      0.22      0.00     65.62
12:45:16 PM     all     24.88      0.00      9.45      0.33      0.00     65.35
12:45:21 PM     all     23.71      0.00      8.86      0.28      0.00     67.15
12:45:26 PM     all     24.44      0.00      9.49      0.22      0.00     65.85
12:45:31 PM     all     25.58      0.00      9.26      0.21      0.00     64.95
12:45:36 PM     all     25.49      0.00      8.55      0.33      0.00     65.63
12:45:41 PM     all     23.80      0.00      9.91      0.16      0.00     66.12
12:45:46 PM     all     23.36      0.00      9.09      0.61      0.00     66.94
12:45:51 PM     all     25.16      0.00      9.13      0.33      0.00     65.38
12:45:56 PM     all     25.88      0.00      9.93      0.44      0.00     63.74
12:46:01 PM     all     24.59      0.00      8.87      0.22      0.00     66.32
12:46:06 PM     all     26.00      0.00      9.58      0.32      0.00     64.10
12:46:11 PM     all     24.84      0.00      8.94      0.16      0.00     66.06
12:46:16 PM     all     23.99      0.00      9.78      0.38      0.00     65.85
12:46:21 PM     all     22.48      0.00     10.26      0.22      0.00     67.04
12:46:26 PM     all     24.96      0.00      8.43      0.61      0.00     66.01
12:46:31 PM     all     23.37      0.00      9.82      0.27      0.00     66.54
12:46:36 PM     all     23.52      0.00     10.90      0.43      0.00     65.16
12:46:41 PM     all     23.67      0.00     10.81      0.05      0.00     65.47
12:46:46 PM     all     24.57      0.00      9.54      0.54      0.00     65.36
12:46:51 PM     all     23.88      0.00      9.30      0.27      0.00     66.54
12:46:56 PM     all     25.69      0.00     10.48      0.55      0.00     63.28
12:47:01 PM     all     23.68      0.00      8.76      0.22      0.00     67.33
12:47:06 PM     all     24.68      0.00      9.13      0.71      0.00     65.48
12:47:11 PM     all     25.89      0.00      8.98      0.21      0.00     64.91
12:47:16 PM     all     25.00      0.00      9.45      0.54      0.00     65.01
12:47:21 PM     all     23.79      0.00      9.86      0.38      0.00     65.96
12:47:26 PM     all     24.71      0.00      8.35      1.64      0.00     65.30
12:47:31 PM     all     23.70      0.00     11.47      0.16      0.00     64.67
12:47:36 PM     all     24.21      0.00      8.71      1.14      0.00     65.94
12:47:41 PM     all     24.30      0.00      8.15      0.22      0.00     67.33
12:47:46 PM     all     23.50      0.00     10.11      0.66      0.00     65.74
12:47:51 PM     all     22.64      0.00      9.11      0.34      0.00     67.92
12:47:56 PM     all     24.20      0.00      8.53      1.50      0.00     65.78
12:48:01 PM     all     25.33      0.00      9.20      0.27      0.00     65.20
12:48:06 PM     all     26.51      0.00     10.36      0.53      0.00     62.59
12:48:11 PM     all     25.94      0.00      8.59      0.32      0.00     65.15
